id;name;gender;birth_year;age;day;condition_day;condition;trial;left;right;side.chosen;side.chosen.reli;repetition;repetition.reason;food.received;food.received.reli;food.remaining;food.remaining.reli;searched;searched.reli;seconds.until.searched;seconds.until.searched.reli;value.remaining.seen;value.remaining.seen.reli;turned.away;turned.away.reli;time.from.last.gaze.to.back.of.head.to.camera;time.from.last.gaze.to.back.of.head.to.camera.reli;emotional.displays;comments;;;;;
2;Baluku;male;1998;23;7;control_1;control;1;high;high;right;;;;high;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;7;control_1;control;2;none;low;right;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;7;control_1;control;3;high;none;left;;;;high;;none;;yes;;2;;worse;;yes;;1;;no;left room but there was no food remaining in box;;;;;
2;Baluku;male;1998;23;7;control_1;control;4;low;low;left;;;;low;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;7;control_1;control;5;high;none;left;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;7;control_1;control;6;none;none;left;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;8;control_2;control;1;high;low;left;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;8;control_2;control;2;low;none;left;;;;low;;none;;yes;;8;;worse;;yes;;1;;no;;;;;;
2;Baluku;male;1998;23;8;control_2;control;3;none;high;right;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;8;control_2;control;4;high;low;right;;;;low;;high;;yes;;2;;better;;yes;;1;;no;looked twice, clean up was a little early;;;;;
2;Baluku;male;1998;23;8;control_2;control;5;none;low;right;;;;low;;none;;yes;;1;;worse;;yes;;1;;no;;;;;;
2;Baluku;male;1998;23;8;control_2;control;6;low;high;right;;;;high;;low;;yes;;3;;worse;;yes;;1;;no;5 trials only? was video cut off?;;;;;
2;Baluku;male;1998;23;9;control_3;control;1;low;low;right;;;;low;;low;;yes;;18;;same;;yes;;1;;no;clean up was a little early;;;;;
2;Baluku;male;1998;23;9;control_3;control;2;high;high;left;;;;high;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;9;control_3;control;3;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;tried searching after clean up;;;;;
2;Baluku;male;1998;23;9;control_3;control;4;none;high;right;;;;high;;none;;yes;;12;;worse;;yes;;1;;no;clean up was a little early;;;;;
2;Baluku;male;1998;23;9;control_3;control;5;low;high;right;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;9;control_3;control;6;none;none;left;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;2;no-choice_1;no-choice;1;high;high;right;;;;high;;high;;yes;;13;;same;;yes;;1;;no;;;;;;
2;Baluku;male;1998;23;2;no-choice_1;no-choice;2;none;low;left;;;;none;;low;;yes;;1;;better;;yes;;1;;no;searched and turned away multiple times;;;;;
2;Baluku;male;1998;23;2;no-choice_1;no-choice;3;high;none;right;;;;none;;high;;yes;;1;;better;;yes;;1;;no;stayed in front with back turned;;;;;
2;Baluku;male;1998;23;2;no-choice_1;no-choice;4;low;low;left;;;;low;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;2;no-choice_1;no-choice;5;high;none;right;;;;none;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;2;no-choice_1;no-choice;6;none;none;left;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
